profile,run,allocs,native,output_counts,peak_extra_bytes,reallocs,requested_bytes,round,source,variant
release,0,1434,False,"[276, 90, 14, 0]",174204,2,331470,0,lib/tests/core/fact.zy,original
release,0,1083,False,"[276, 90, 14, 0]",174308,2,298326,0,lib/tests/core/fact.zy,jobs
release,0,782,False,"[276, 90, 14, 0]",223756,9,388315,0,lib/tests/core/fact.zy,baseline
release,0,782,False,"[276, 90, 14, 0]",180748,6,302299,0,lib/tests/core/fact.zy,explicit
release,0,781,False,"[276, 90, 14, 0]",180236,6,301787,0,lib/tests/core/fact.zy,recursive
release,0,1083,False,"[276, 90, 14, 0]",174308,2,298326,1,lib/tests/core/fact.zy,jobs
release,0,782,False,"[276, 90, 14, 0]",223756,9,388315,1,lib/tests/core/fact.zy,baseline
release,0,782,False,"[276, 90, 14, 0]",180748,6,302299,1,lib/tests/core/fact.zy,explicit
release,0,781,False,"[276, 90, 14, 0]",180236,6,301787,1,lib/tests/core/fact.zy,recursive
release,0,1434,False,"[276, 90, 14, 0]",174204,2,331470,1,lib/tests/core/fact.zy,original
release,0,782,False,"[276, 90, 14, 0]",223756,9,388315,2,lib/tests/core/fact.zy,baseline
release,0,782,False,"[276, 90, 14, 0]",180748,6,302299,2,lib/tests/core/fact.zy,explicit
release,0,781,False,"[276, 90, 14, 0]",180236,6,301787,2,lib/tests/core/fact.zy,recursive
release,0,1434,False,"[276, 90, 14, 0]",174204,2,331470,2,lib/tests/core/fact.zy,original
release,0,1083,False,"[276, 90, 14, 0]",174308,2,298326,2,lib/tests/core/fact.zy,jobs
release,0,782,False,"[276, 90, 14, 0]",180748,6,302299,3,lib/tests/core/fact.zy,explicit
release,0,781,False,"[276, 90, 14, 0]",180236,6,301787,3,lib/tests/core/fact.zy,recursive
release,0,1434,False,"[276, 90, 14, 0]",174204,2,331470,3,lib/tests/core/fact.zy,original
release,0,1083,False,"[276, 90, 14, 0]",174308,2,298326,3,lib/tests/core/fact.zy,jobs
release,0,782,False,"[276, 90, 14, 0]",223756,9,388315,3,lib/tests/core/fact.zy,baseline
release,0,781,False,"[276, 90, 14, 0]",180236,6,301787,4,lib/tests/core/fact.zy,recursive
release,0,1434,False,"[276, 90, 14, 0]",174204,2,331470,4,lib/tests/core/fact.zy,original
release,0,1083,False,"[276, 90, 14, 0]",174308,2,298326,4,lib/tests/core/fact.zy,jobs
release,0,782,False,"[276, 90, 14, 0]",223756,9,388315,4,lib/tests/core/fact.zy,baseline
release,0,782,False,"[276, 90, 14, 0]",180748,6,302299,4,lib/tests/core/fact.zy,explicit
release,0,1434,False,"[276, 90, 14, 0]",174204,2,331470,5,lib/tests/core/fact.zy,original
release,0,1083,False,"[276, 90, 14, 0]",174308,2,298326,5,lib/tests/core/fact.zy,jobs
release,0,782,False,"[276, 90, 14, 0]",223756,9,388315,5,lib/tests/core/fact.zy,baseline
release,0,782,False,"[276, 90, 14, 0]",180748,6,302299,5,lib/tests/core/fact.zy,explicit
release,0,781,False,"[276, 90, 14, 0]",180236,6,301787,5,lib/tests/core/fact.zy,recursive
release,0,1083,False,"[276, 90, 14, 0]",174308,2,298326,6,lib/tests/core/fact.zy,jobs
release,0,782,False,"[276, 90, 14, 0]",223756,9,388315,6,lib/tests/core/fact.zy,baseline
release,0,782,False,"[276, 90, 14, 0]",180748,6,302299,6,lib/tests/core/fact.zy,explicit
release,0,781,False,"[276, 90, 14, 0]",180236,6,301787,6,lib/tests/core/fact.zy,recursive
release,0,1434,False,"[276, 90, 14, 0]",174204,2,331470,6,lib/tests/core/fact.zy,original
release,0,782,False,"[276, 90, 14, 0]",223756,9,388315,7,lib/tests/core/fact.zy,baseline
release,0,782,False,"[276, 90, 14, 0]",180748,6,302299,7,lib/tests/core/fact.zy,explicit
release,0,781,False,"[276, 90, 14, 0]",180236,6,301787,7,lib/tests/core/fact.zy,recursive
release,0,1434,False,"[276, 90, 14, 0]",174204,2,331470,7,lib/tests/core/fact.zy,original
release,0,1083,False,"[276, 90, 14, 0]",174308,2,298326,7,lib/tests/core/fact.zy,jobs
release,0,1377,True,"[265, 89, 14, 13]",175129,2,329606,0,lib/tests/core/fact.zy,original
release,0,1042,True,"[265, 89, 14, 13]",175489,2,297930,0,lib/tests/core/fact.zy,jobs
release,0,760,True,"[265, 89, 14, 13]",225001,9,388527,0,lib/tests/core/fact.zy,baseline
release,0,760,True,"[265, 89, 14, 13]",181993,6,302511,0,lib/tests/core/fact.zy,explicit
release,0,759,True,"[265, 89, 14, 13]",181481,6,301999,0,lib/tests/core/fact.zy,recursive
release,0,1042,True,"[265, 89, 14, 13]",175489,2,297930,1,lib/tests/core/fact.zy,jobs
release,0,760,True,"[265, 89, 14, 13]",225001,9,388527,1,lib/tests/core/fact.zy,baseline
release,0,760,True,"[265, 89, 14, 13]",181993,6,302511,1,lib/tests/core/fact.zy,explicit
release,0,759,True,"[265, 89, 14, 13]",181481,6,301999,1,lib/tests/core/fact.zy,recursive
release,0,1377,True,"[265, 89, 14, 13]",175129,2,329606,1,lib/tests/core/fact.zy,original
release,0,760,True,"[265, 89, 14, 13]",225001,9,388527,2,lib/tests/core/fact.zy,baseline
release,0,760,True,"[265, 89, 14, 13]",181993,6,302511,2,lib/tests/core/fact.zy,explicit
release,0,759,True,"[265, 89, 14, 13]",181481,6,301999,2,lib/tests/core/fact.zy,recursive
release,0,1377,True,"[265, 89, 14, 13]",175129,2,329606,2,lib/tests/core/fact.zy,original
release,0,1042,True,"[265, 89, 14, 13]",175489,2,297930,2,lib/tests/core/fact.zy,jobs
release,0,760,True,"[265, 89, 14, 13]",181993,6,302511,3,lib/tests/core/fact.zy,explicit
release,0,759,True,"[265, 89, 14, 13]",181481,6,301999,3,lib/tests/core/fact.zy,recursive
release,0,1377,True,"[265, 89, 14, 13]",175129,2,329606,3,lib/tests/core/fact.zy,original
release,0,1042,True,"[265, 89, 14, 13]",175489,2,297930,3,lib/tests/core/fact.zy,jobs
release,0,760,True,"[265, 89, 14, 13]",225001,9,388527,3,lib/tests/core/fact.zy,baseline
